id,subject,topic,question,optionA,optionB,optionC,optionD,answer,tip
7704,Physics,Work Energy Power,"In Work Energy Power, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Use elimination to remove incorrect options quickly.
7705,Mathematics,Probability,Solve the problem related to Probability.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
7706,Physics,Magnetism,"In Magnetism, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
7707,Physics,Dynamics,A conceptual question from Dynamics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
7708,Physics,Circular Motion,"According to the principle studied in Circular Motion, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
7709,English,Analogies,Identify the correct option in Analogies.,Option A concept,Option B concept,Option C concept,Option D concept,C,Use elimination to remove incorrect options quickly.
7710,English,Synonyms,Choose the correct answer related to Synonyms.,Option A concept,Option B concept,Option C concept,Option D concept,D,Recall the key formula or rule from the chapter.
7711,English,Grammar,Which option best fits the rule of Grammar?,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
7712,English,Antonyms,Which option best fits the rule of Antonyms?,Statement 1,Statement 2,Statement 3,Statement 4,B,Recall the key formula or rule from the chapter.
7713,Physics,SHM,A conceptual question from SHM: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
7714,Physics,Thermodynamics,A conceptual question from Thermodynamics: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
7715,Physics,Current Electricity,"In Current Electricity, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Use elimination to remove incorrect options quickly.
7716,Physics,Circular Motion,A conceptual question from Circular Motion: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
7717,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Option A concept,Option B concept,Option C concept,Option D concept,B,Recall the key formula or rule from the chapter.
7718,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
7719,Mathematics,Matrices,Choose the correct mathematical statement from Matrices.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
7720,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
7721,Mathematics,Integration,Solve the problem related to Integration.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
7722,Physics,Waves,"According to the principle studied in Waves, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
7723,Physics,Magnetism,"According to the principle studied in Magnetism, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
7724,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
7725,English,Vocabulary,Which option best fits the rule of Vocabulary?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
7726,English,Synonyms,Identify the correct option in Synonyms.,Option A concept,Option B concept,Option C concept,Option D concept,D,Use elimination to remove incorrect options quickly.
7727,English,Grammar,Which option best fits the rule of Grammar?,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
7728,English,Reading Comprehension,Which option best fits the rule of Reading Comprehension?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
7729,Mathematics,Quadratic Equations,Which of the following is correct in Quadratic Equations?,Option A concept,Option B concept,Option C concept,Option D concept,A,Focus on conceptual understanding rather than memorization.
7730,English,Antonyms,Choose the correct answer related to Antonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
7731,English,Grammar,Choose the correct answer related to Grammar.,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
7732,English,Analogies,Which option best fits the rule of Analogies?,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
7733,Physics,Current Electricity,A conceptual question from Current Electricity: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Recall the key formula or rule from the chapter.
7734,English,Vocabulary,Choose the correct answer related to Vocabulary.,Statement 1,Statement 2,Statement 3,Statement 4,C,Review the core concept from the FSc textbook.
7735,English,Antonyms,Which option best fits the rule of Antonyms?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Review the core concept from the FSc textbook.
7736,Physics,Dynamics,"According to the principle studied in Dynamics, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
7737,Mathematics,Functions,Which of the following is correct in Functions?,Option A concept,Option B concept,Option C concept,Option D concept,A,Use elimination to remove incorrect options quickly.
7738,English,Vocabulary,Choose the correct answer related to Vocabulary.,Statement 1,Statement 2,Statement 3,Statement 4,B,Recall the key formula or rule from the chapter.
7739,English,Analogies,Identify the correct option in Analogies.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
7740,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
7741,English,Vocabulary,Identify the correct option in Vocabulary.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Use elimination to remove incorrect options quickly.
7742,Mathematics,Trigonometry,Choose the correct mathematical statement from Trigonometry.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
7743,Mathematics,Differentiation,Choose the correct mathematical statement from Differentiation.,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
7744,Physics,Optics,"According to the principle studied in Optics, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
7745,Mathematics,Statistics,Solve the problem related to Statistics.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
7746,Physics,Optics,A conceptual question from Optics: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
7747,Mathematics,Algebra,Which of the following is correct in Algebra?,Option A concept,Option B concept,Option C concept,Option D concept,B,Use elimination to remove incorrect options quickly.
